,proportion,type,ROI,net,layer,sum
233,0.0038620755674059048,semantic,EVC,dcrandom,ReLu7,0.001017569147727185
234,0.27077323112480145,perceptual,EVC,dcrandom,ReLu7,0.3224384321546173
235,-0.00038831215074356924,semantic,EVC,dcrandom,ReLu7,-0.0004624045019229952
236,3.2772893348168495,perceptual,EVC,dcrandom,ReLu7,0.6350324110986278
237,-0.003302846558265497,semantic,EVC,dcrandom,ReLu7,-0.0006399845723421172
238,0.5490559102528978,perceptual,EVC,dcrandom,ReLu7,0.35854449573193015
239,0.0003323463317801103,semantic,EVC,dcrandom,ReLu7,0.0002170288047378823
240,-22.894535239430187,perceptual,EVC,dctrained,ReLu2,0.111113865817181
241,-0.10267935301208156,semantic,EVC,dctrained,ReLu2,0.0004983328874538597
242,-0.3894995633292944,perceptual,EVC,dctrained,ReLu2,0.03487323474525905
243,-0.007089371597354069,semantic,EVC,dctrained,ReLu2,0.000634735807654515
244,-6.384719460988926,perceptual,EVC,dctrained,ReLu2,0.07992347407470582
245,-0.14990593680767936,semantic,EVC,dctrained,ReLu2,0.001876512089105528
246,0.4490981599515848,perceptual,EVC,dctrained,ReLu2,0.059721557905578405
247,-0.003287824286603458,semantic,EVC,dctrained,ReLu2,-0.0004372184213289216
248,0.015313352204660615,perceptual,EVC,dctrained,ReLu2,-0.00037614415829344966
249,-0.10050508638831526,semantic,EVC,dctrained,ReLu2,0.0024687214542246034
250,-1.0758462165759282,perceptual,EVC,dctrained,ReLu2,0.05780513163864201
251,-0.006811197065913396,semantic,EVC,dctrained,ReLu2,0.00036596507655615204
252,1.394351863590227,perceptual,EVC,dctrained,ReLu2,0.13690925438278567
253,0.006346698749054787,semantic,EVC,dctrained,ReLu2,0.0006231725407444277
254,-6.2454768522129465,perceptual,EVC,dctrained,ReLu2,0.0362326463634291
255,-0.14409436126512615,semantic,EVC,dctrained,ReLu2,0.0008359521871950568
256,1.621125543269838,perceptual,EVC,dctrained,ReLu2,0.13419590353713257
257,0.007626518795067291,semantic,EVC,dctrained,ReLu2,0.0006313191379877141
258,0.9830259550726753,perceptual,EVC,dctrained,ReLu2,0.08567846922793079
259,0.007885339513573513,semantic,EVC,dctrained,ReLu2,0.0006872695633103069
260,-2.535672257887536,perceptual,EVC,dctrained,ReLu2,0.09403509042876435
261,-0.010575880130306905,semantic,EVC,dctrained,ReLu2,0.0003922051997546801
262,0.5616480985847524,perceptual,EVC,dctrained,ReLu2,0.029549615468967144
263,-0.0017254289840541949,semantic,EVC,dctrained,ReLu2,-9.077884021380404e-05
264,-28.506970919435044,perceptual,EVC,dctrained,ReLu2,0.1060071015718947
265,0.17251902205658873,semantic,EVC,dctrained,ReLu2,-0.0006415357684238723
266,0.15207021152813072,perceptual,EVC,dctrained,ReLu2,0.06028639353632667
267,8.773721704711242e-05,semantic,EVC,dctrained,ReLu2,3.4782357054233964e-05
268,0.9902928729010909,perceptual,EVC,dctrained,ReLu2,0.09116161888158171
269,-0.001186463289587061,semantic,EVC,dctrained,ReLu2,-0.00010922012788546669
270,1.4106413629741879,perceptual,EVC,dctrained,ReLu7,0.09931262982001135
271,0.11652428486550041,semantic,EVC,dctrained,ReLu7,0.008203596939402057
272,-0.4820619938422082,perceptual,EVC,dctrained,ReLu7,0.012063364308944717
273,-0.31264586688828266,semantic,EVC,dctrained,ReLu7,0.00782380905389053
274,1.186510690866193,perceptual,EVC,dctrained,ReLu7,0.06926467830847312
275,0.027240254807595916,semantic,EVC,dctrained,ReLu7,0.0015901984708722268
276,0.9628312651605498,perceptual,EVC,dctrained,ReLu7,0.10702915236764746
277,-0.01951394047887723,semantic,EVC,dctrained,ReLu7,-0.002169186423810918
278,-0.21515090001752613,perceptual,EVC,dctrained,ReLu7,-0.01259652675635153
279,-0.03728127080542139,semantic,EVC,dctrained,ReLu7,-0.0021827216394308506
280,1.299655518050969,perceptual,EVC,dctrained,ReLu7,0.05347096409042148
281,0.17931438839385688,semantic,EVC,dctrained,ReLu7,0.0073774266253896605
282,1.4227351373396522,perceptual,EVC,dctrained,ReLu7,0.19820858433406696
283,0.04023962361138706,semantic,EVC,dctrained,ReLu7,0.005605989913950257
284,-14.248070537777656,perceptual,EVC,dctrained,ReLu7,0.029001679494205682
285,-1.832250071706888,semantic,EVC,dctrained,ReLu7,0.0037295105461463275
286,1.4016865983179367,perceptual,EVC,dctrained,ReLu7,0.17246987070958952
287,0.06126982537676464,semantic,EVC,dctrained,ReLu7,0.0075389169546249924
288,0.620379865135731,perceptual,EVC,dctrained,ReLu7,0.08684696266894591
289,-0.042987864237676185,semantic,EVC,dctrained,ReLu7,-0.006017870099395259
290,2.937732411732414,perceptual,EVC,dctrained,ReLu7,0.09082996784569584
291,0.022068979796005736,semantic,EVC,dctrained,ReLu7,0.000682337410055813
292,0.7547360188334672,perceptual,EVC,dctrained,ReLu7,0.04871318325623062
293,0.03042858219380581,semantic,EVC,dctrained,ReLu7,0.0019639623174804413
294,2.105353030747579,perceptual,EVC,dctrained,ReLu7,0.07565954120364331
295,0.03543477528012944,semantic,EVC,dctrained,ReLu7,0.0012734105877705553
296,0.6244378738440359,perceptual,EVC,dctrained,ReLu7,0.18413832344401201
297,-0.03564207341769972,semantic,EVC,dctrained,ReLu7,-0.010510367673250476
298,0.8664286066544545,perceptual,EVC,dctrained,ReLu7,0.16665875347456727
299,-0.00734723219782162,semantic,EVC,dctrained,ReLu7,-0.0014132503822851022
300,-8.68407233602961,perceptual,EVC,alexnettrained,ReLu2,0.11438350896479121
301,-0.265469298196149,semantic,EVC,alexnettrained,ReLu2,0.003496667079120529
302,-0.6742423198954215,perceptual,EVC,alexnettrained,ReLu2,0.02812310258389697
303,-0.05395127033998178,semantic,EVC,alexnettrained,ReLu2,0.0022503439275929804
304,1.0129069566319209,perceptual,EVC,alexnettrained,ReLu2,0.041795986854401106
305,0.10621145328843526,semantic,EVC,alexnettrained,ReLu2,0.004382645885058757
306,0.5603896223071656,perceptual,EVC,alexnettrained,ReLu2,0.05183980755902023
307,-0.017222099405434513,semantic,EVC,alexnettrained,ReLu2,-0.0015931599790594943
308,1.3216584408896088,perceptual,EVC,alexnettrained,ReLu2,0.007177896833430116
309,1.1535519453480476,semantic,EVC,alexnettrained,ReLu2,0.0062649142921809495
310,-1.2546513187401531,perceptual,EVC,alexnettrained,ReLu2,0.0509590936761744
311,-0.0507405578096297,semantic,EVC,alexnettrained,ReLu2,0.002060885602223463
312,1.243240486394319,perceptual,EVC,alexnettrained,ReLu2,0.14912868694171577
313,0.01818936440162323,semantic,EVC,alexnettrained,ReLu2,0.002181843383644536
314,2.6369019018852784,perceptual,EVC,alexnettrained,ReLu2,0.04152943965348623
315,0.16472884239457902,semantic,EVC,alexnettrained,ReLu2,0.002594368988290086
316,2.018856374816879,perceptual,EVC,alexnettrained,ReLu2,0.14570611201984116
317,0.04274913730227501,semantic,EVC,alexnettrained,ReLu2,0.003085316353463648
318,0.8368226813920474,perceptual,EVC,alexnettrained,ReLu2,0.09754067437368766
319,0.013169775160535174,semantic,EVC,alexnettrained,ReLu2,0.0015350787915685304
320,-6.72588212743826,perceptual,EVC,alexnettrained,ReLu2,0.10541860479474535
321,-0.2561361683662001,semantic,EVC,alexnettrained,ReLu2,0.004014568943526978
322,14.420138168882898,perceptual,EVC,alexnettrained,ReLu2,0.04825102414831564
323,0.26082124438582416,semantic,EVC,alexnettrained,ReLu2,0.00087273034515099
324,-8.490625960467193,perceptual,EVC,alexnettrained,ReLu2,0.10105711913239238
325,-0.07052987352951468,semantic,EVC,alexnettrained,ReLu2,0.0008394605845141412
326,0.2166707825931544,perceptual,EVC,alexnettrained,ReLu2,0.05977178327871199
327,-0.011999766426862703,semantic,EVC,alexnettrained,ReLu2,-0.003310309907397098
328,1.5507405859793963,perceptual,EVC,alexnettrained,ReLu2,0.10857828204332365
