net,layer,instance,metric,comparison,t_stat,p_val,cohens_d,perceptual_mean,perceptual_std,semantic_mean,semantic_std,n
dctrained,ReLu7,4,r2,perceptual vs semantic,523.826598878577,0.0,16.564851514357073,0.3001418303988314,0.01206662217898342,0.0655085959353424,0.00809752377959409,1000
dctrained,ReLu7,4,aic,perceptual vs semantic,-312.373266572574,0.0,-9.87811002516273,-4181.489594538469,86.7935031832411,-2981.6443040414815,82.45652839906067,1000
dctrained,ReLu7,5,r2,perceptual vs semantic,453.691729013257,0.0,14.346992192617888,0.29361593180381806,0.011618364113353204,0.08182328129559084,0.008817905564835428,1000
dctrained,ReLu7,5,aic,perceptual vs semantic,-286.3867444046147,0.0,-9.056344039990648,-3885.144571115843,84.23176858116052,-2804.7857189782767,83.52697529674975,1000
dctrained,ReLu7,6,r2,perceptual vs semantic,465.68612911509217,0.0,14.726288427509422,0.3026033079835355,0.011856536401221134,0.08688429912414718,0.009205192822195882,1000
dctrained,ReLu7,6,aic,perceptual vs semantic,-302.0940560989229,0.0,-9.553052848712772,-3727.7173212010703,85.21362885498519,-2603.989585345997,78.34222572529087,1000
dctrained,ReLu7,7,r2,perceptual vs semantic,358.94481353242327,0.0,11.35083165066887,0.2531172403736234,0.0114244869013645,0.08436514031988741,0.00906307527179278,1000
dctrained,ReLu7,7,aic,perceptual vs semantic,-226.5190121592891,0.0,-7.163160117547292,-3681.427370891735,85.98526142701508,-2837.878060507109,83.53707469088754,1000
dctrained,ReLu7,8,r2,perceptual vs semantic,394.1735434337348,0.0,12.464861906299104,0.2737220994799122,0.012336221924632644,0.08495747287090737,0.009438690304417434,1000
dctrained,ReLu7,8,aic,perceptual vs semantic,-235.91012206222112,0.0,-7.460133088049575,-3865.728613468995,90.47821677561036,-2913.002827647505,87.74777885962338,1000
dctrained,ReLu7,9,r2,perceptual vs semantic,495.1996709830839,0.0,15.659588568725365,0.32539568597329854,0.012552359302439016,0.08400010319131267,0.008748020885655232,1000
dctrained,ReLu7,9,aic,perceptual vs semantic,-330.4572668173497,0.0,-10.449976324968057,-4007.7224640718086,89.10151982273868,-2736.7651769040153,82.04216329612929,1000
dctrained,ReLu7,10,r2,perceptual vs semantic,438.61766341021263,0.0,13.87030838357369,0.30400520803011555,0.012195415955198156,0.08835104184917998,0.010072229582747578,1000
dctrained,ReLu7,10,aic,perceptual vs semantic,-273.37214401125925,0.0,-8.644786239191381,-4221.460323116714,93.52893989475763,-3100.2506916807833,91.82322280562879,1000
